IPProto,SrcIP,SrcPort,DstIp,DstPort,UID,App,PackageName,Proto,Status,Info,BytesSent,BytesRcvd,PktsSent,PktsRcvd,FirstSeen,LastSeen
17,10.215.173.1,58418,10.215.173.2,53,10585,IPVanish,com.ixolit.ipvanish,DNS,Closed,firebaseinstallations.googleapis.com,82,194,1,1,2026-05-01T02:28:08.187-04:00,2026-05-01T02:28:08.390-04:00
17,10.215.173.1,23242,10.215.173.2,53,10585,IPVanish,com.ixolit.ipvanish,DNS,Closed,firebaseinstallations.googleapis.com,82,290,1,1,2026-05-01T02:28:08.191-04:00,2026-05-01T02:28:08.405-04:00
17,10.215.173.1,17450,10.215.173.2,53,10585,IPVanish,com.ixolit.ipvanish,DNS,Closed,firebase-settings.crashlytics.com,79,107,1,1,2026-05-01T02:28:08.193-04:00,2026-05-01T02:28:08.411-04:00
17,10.215.173.1,38014,10.215.173.2,53,10585,IPVanish,com.ixolit.ipvanish,DNS,Closed,firebase-settings.crashlytics.com,79,95,1,1,2026-05-01T02:28:08.195-04:00,2026-05-01T02:28:08.412-04:00
6,10.215.173.1,46684,172.253.115.94,443,10585,IPVanish,com.ixolit.ipvanish,HTTPS,Closed,firebase-settings.crashlytics.com,807,4375,6,6,2026-05-01T02:28:08.437-04:00,2026-05-01T02:28:08.677-04:00
6,10.215.173.1,34480,142.251.16.95,443,10585,IPVanish,com.ixolit.ipvanish,HTTPS,Error,firebaseinstallations.googleapis.com,847,4765,7,6,2026-05-01T02:28:08.445-04:00,2026-05-01T02:28:08.635-04:00
17,10.215.173.1,6565,10.215.173.2,53,10585,IPVanish,com.ixolit.ipvanish,DNS,Closed,dacdn.visualwebsiteoptimizer.com,78,106,1,1,2026-05-01T02:28:08.475-04:00,2026-05-01T02:28:08.556-04:00
17,10.215.173.1,20249,10.215.173.2,53,10585,IPVanish,com.ixolit.ipvanish,DNS,Closed,dacdn.visualwebsiteoptimizer.com,78,94,1,1,2026-05-01T02:28:08.521-04:00,2026-05-01T02:28:08.570-04:00
17,10.215.173.1,11059,10.215.173.2,53,10585,IPVanish,com.ixolit.ipvanish,DNS,Closed,sdk.iad-05.braze.com,66,174,1,1,2026-05-01T02:28:08.527-04:00,2026-05-01T02:28:08.569-04:00
17,10.215.173.1,33972,10.215.173.2,53,10585,IPVanish,com.ixolit.ipvanish,DNS,Closed,sdk.iad-05.braze.com,66,151,1,1,2026-05-01T02:28:08.535-04:00,2026-05-01T02:28:08.570-04:00
